player,position,team,age,birth_year,games,minutes,minutes_per_game,minutes_pct,minutes_90s,games_starts,minutes_per_start,games_complete,games_subs,minutes_per_sub,unused_subs,points_per_game,on_goals_for,on_goals_against,plus_minus,plus_minus_per90,plus_minus_wowy,on_xg_for,on_xg_against,xg_plus_minus,xg_plus_minus_per90,xg_plus_minus_wowy
Andries Noppert,GK,Netherlands,28-255,1994,5,480,96,100.0,5.3,5,96,5,0,,0,2.20,10,4,+6,+1.13,,4.6,6.1,-1.5,-0.29,-0.29
Andrija Živković,DF,Serbia,26-160,1996,3,210,70,77.8,2.3,3,70,0,0,,0,0.33,5,6,-1,-0.43,+2.57,3.0,5.6,-2.7,-1.14,+0.79
André Ayew,MF,Ghana,33-001,1989,3,198,66,73.3,2.2,3,66,0,0,,0,1.00,4,5,-1,-0.45,+0.80,2.9,4.2,-1.3,-0.58,-0.37
André Onana,GK,Cameroon,26-260,1996,1,80,80,29.6,0.9,1,80,0,0,,0,0.00,0,1,-1,-1.13,-1.60,0.7,1.4,-0.7,-0.70,+0.12
André Silva,FW,Portugal,27-042,1995,1,26,26,5.8,0.3,0,,0,1,26,4,0.00,0,1,-1,-3.46,-4.95,0.1,0.9,-0.8,-2.79,-3.23
Andrés Guardado,MF,Mexico,36-081,1986,1,41,41,15.2,0.5,1,41,0,0,,2,0.00,0,0,0,0.00,+0.39,0.2,0.1,+0.1,+0.23,-0.08
Anis Ben Slimane,MF,Tunisia,21-277,2001,2,148,74,54.8,1.6,2,74,0,0,,1,2.00,1,0,+1,+0.61,+1.35,1.4,0.9,+0.5,+0.29,+1.02
Ansu Fati,FW,Spain,20-048,2002,2,46,23,11.8,0.5,0,,0,2,23,2,0.50,0,0,0,0.00,-1.57,0.6,0.7,0.0,-0.01,-0.68
Ante Budimir,FW,Croatia,31-149,1991,2,55,28,8.0,0.6,0,,0,2,28,5,1.00,1,0,+1,+1.64,+1.64,0.7,0.4,+0.3,+0.57,+1.17
Anthony Contreras,FW,Costa Rica,22-323,2000,3,125,42,46.3,1.4,2,62,0,1,1,0,1.00,0,4,-4,-2.88,-0.40,0.0,3.7,-3.6,-2.61,+0.53
Anthony Hernández,FW,Costa Rica,21-068,2001,0,,,,,0,,0,0,,3,,,,,,,,,,,
Antoine Griezmann,MF,France,31-272,1991,7,537,77,81.4,6.0,6,87,4,1,18,0,2.29,13,6,+7,+1.17,+0.44,11.5,8.0,+3.5,+0.59,+0.44
Antoine Semenyo,FW,Ghana,22-345,2000,2,20,10,7.4,0.2,0,,0,2,10,1,0.00,0,0,0,0.00,+0.72,0.6,0.2,+0.4,+1.75,+2.41
Antonee Robinson,DF,United States,25-132,1997,4,359,90,99.7,4.0,4,90,3,0,,0,1.25,3,4,-1,-0.25,-0.25,4.0,4.4,-0.4,-0.09,-6.84
Antonio Rüdiger,DF,Germany,29-290,1993,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,6,5,+1,+0.33,,10.1,3.4,+6.7,+2.22,
Antony,FW,Brazil,22-297,2000,4,172,43,35.8,1.9,1,78,0,3,31,1,1.75,2,1,+1,+0.52,-0.65,4.0,0.6,+3.4,+2.14,+0.41
António Silva,DF,Portugal,19-049,2003,1,90,90,20.0,1.0,1,90,1,0,,4,0.00,1,2,-1,-1.00,-2.75,1.3,1.7,-0.4,-0.42,-0.84
Ao Tanaka,MF,Japan,24-099,1998,3,171,57,43.8,1.9,2,78,0,1,15,1,2.33,2,2,0,0.00,-0.41,1.8,3.6,-1.8,-1.01,-1.43
Ardon Jasari,FW,Switzerland,20-141,2002,1,2,2,0.6,0.0,0,,0,1,2,3,0.00,0,1,-1,-45.00,-44.25,0.0,0.1,-0.1,-2.59,-2.69
Arkadiusz Milik,FW,Poland,28-293,1994,3,101,34,28.1,1.1,1,70,0,2,16,1,1.33,2,2,0,0.00,+0.69,1.8,1.9,-0.1,-0.06,+0.86
Armel Bella Kotchap,DF,Germany,21-007,2001,0,,,,,0,,0,0,,3,,,,,,,,,,,
Arthur Theate,DF,Belgium,22-207,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,
Artur Jędrzejczyk,DF,Poland,35-044,1987,1,19,19,5.3,0.2,0,,0,1,19,3,0.00,0,0,0,0.00,+0.53,0.0,0.7,-0.7,-3.31,-2.77
Asiri Haitham,FW,Saudi Arabia,21-268,2001,1,2,2,0.7,0.0,0,,0,1,2,2,3.00,0,0,0,0.00,+0.67,0.0,0.1,-0.1,-3.19,-2.19
Assim Madibo,MF,Qatar,26-057,1996,2,153,77,56.7,1.7,2,77,1,0,,1,0.00,1,5,-4,-2.35,-0.81,1.0,2.3,-1.3,-0.76,-0.11
Atiba Hutchinson,MF,Canada,39-313,1983,3,159,53,58.9,1.8,2,64,0,1,31,0,0.00,1,4,-3,-1.70,-0.08,3.2,2.1,+1.1,+0.60,+1.21
Aurélien Tchouaméni,MF,France,22-325,2000,7,621,89,94.1,6.9,7,89,5,0,,0,2.29,14,7,+7,+1.01,-1.29,13.2,9.0,+4.1,+0.63,+1.14
Awer Mabil,MF,Australia,27-094,1995,2,24,12,6.7,0.3,0,,0,2,12,2,1.50,0,0,0,0.00,+0.54,0.0,0.6,-0.6,-2.35,-1.20
Axel Disasi,DF,France,24-282,1998,3,92,31,13.9,1.0,1,90,1,2,1,4,1.33,0,2,-2,-1.96,-3.54,1.1,1.7,-0.6,-0.61,-1.29
Axel Witsel,MF,Belgium,33-340,1989,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,1,2,-1,-0.33,,4.7,4.6,+0.2,+0.05,
Ayase Ueda,FW,Japan,24-099,1998,1,45,45,11.5,0.5,1,45,0,0,,3,0.00,0,0,0,0.00,-0.26,0.0,0.0,0.0,-0.03,+0.15
Aymen Mathlouthi,GK,Tunisia,38-095,1984,0,,,,,0,,0,0,,3,,,,,,,,,,,
Aymeric Laporte,DF,Spain,28-205,1994,3,300,100,76.9,3.3,3,100,3,0,,1,1.67,8,1,+7,+2.10,+3.10,5.1,2.0,+3.1,+1.05,+1.36
Ayrton Preciado,MF,Ecuador,28-154,1994,0,,,,,0,,0,0,,3,,,,,,,,,,,
Aziz Behich,DF,Australia,32-002,1990,4,360,90,100.0,4.0,4,90,4,0,,0,1.50,4,6,-2,-0.50,,2.3,7.2,-4.9,-1.23,
Azzedine Ounahi,MF,Morocco,22-243,2000,7,568,81,86.1,6.3,6,89,2,1,35,0,1.57,4,3,+1,+0.16,+0.16,5.4,6.7,-1.4,-0.22,-0.78
Aïssa Laïdouni,MF,Tunisia,26-005,1996,3,243,81,90.0,2.7,3,81,1,0,,0,1.33,1,1,0,0.00,0.00,1.8,2.6,-0.8,-0.28,-1.17
Baba Rahman,DF,Ghana,28-169,1994,3,183,61,67.8,2.0,2,90,2,1,3,0,1.00,2,5,-3,-1.48,-2.51,2.5,4.1,-1.6,-0.79,-0.96
Badr Banoun,DF,Morocco,29-079,1993,3,54,18,8.2,0.6,0,,0,3,18,4,1.33,0,0,0,0.00,-0.15,1.0,1.0,0.0,0.00,+0.12
Bailey Wright,DF,Australia,30-143,1992,1,17,17,4.7,0.2,0,,0,1,17,3,3.00,0,0,0,0.00,+0.52,0.0,0.2,-0.2,-0.87,+0.37
Bamba Dieng,FW,Senegal,22-270,2000,4,100,25,27.8,1.1,0,,0,4,25,0,1.50,1,4,-3,-2.70,-3.05,1.2,1.1,0.0,+0.04,-0.30
Bartosz Bereszyński,DF,Poland,30-159,1992,4,341,85,94.7,3.8,4,85,3,0,,0,1.00,3,5,-2,-0.53,-0.53,4.5,6.6,-2.0,-0.54,+2.77
Bassam Al-Rawi,DF,Qatar,25-002,1997,1,90,90,33.3,1.0,1,90,1,0,,0,0.00,0,2,-2,-2.00,0.00,0.3,1.2,-0.9,-0.86,-0.23
Bechir Ben Saïd,GK,Tunisia,30-019,1992,0,,,,,0,,0,0,,3,,,,,,,,,,,
Ben Cabango,DF,Wales,22-202,2000,0,,,,,0,,0,0,,3,,,,,,,,,,,
Ben Davies,DF,Wales,29-238,1993,3,238,79,88.1,2.6,3,79,2,0,,0,0.33,1,5,-4,-1.51,+1.30,2.5,3.4,-0.9,-0.34,+2.41
Ben White,DF,England,25-071,1997,0,,,,,0,,0,0,,2,,,,,,,,,,,
Benjamin Pavard,DF,France,26-265,1996,1,88,88,13.3,1.0,1,88,0,0,,6,3.00,4,1,+3,+3.07,+2.28,3.7,0.5,+3.2,+3.24,+3.15
Bernardo Silva,MF,Portugal,28-130,1994,5,356,71,79.1,4.0,4,87,2,1,9,0,1.80,10,4,+6,+1.52,+1.52,6.4,5.0,+1.4,+0.36,+0.54
Bilal El Khannous,MF,Morocco,18-222,2004,1,55,55,8.3,0.6,1,55,0,0,,6,0.00,1,2,-1,-1.64,-1.93,0.8,0.4,+0.4,+0.68,+0.86
Bilel Ifa,DF,Tunisia,32-284,1990,0,,,,,0,,0,0,,3,,,,,,,,,,,
Borna Barišić,DF,Croatia,30-038,1992,1,120,120,17.4,1.3,1,120,1,0,,6,1.00,1,1,0,0.00,-0.16,1.4,1.2,+0.2,+0.24,+0.88
Borna Sosa,DF,Croatia,24-331,1998,5,424,85,61.4,4.7,5,85,3,0,,1,1.20,4,4,0,0.00,-0.34,4.5,7.7,-3.2,-0.69,-0.42
Boualem Khoukhi,DF,Qatar,32-162,1990,3,270,90,100.0,3.0,3,90,3,0,,0,0.00,1,7,-6,-2.00,,1.4,3.5,-2.1,-0.71,
Boulaye Dia,FW,Senegal,26-032,1996,4,318,80,88.3,3.5,4,80,1,0,,0,1.50,5,5,0,0.00,+4.29,3.8,3.0,+0.8,+0.22,-0.30
Brandon Aguilera,MF,Costa Rica,19-173,2003,3,90,30,33.3,1.0,1,45,0,2,23,0,1.00,1,4,-3,-3.00,-0.50,0.3,2.5,-2.2,-2.21,+1.04
Breel Embolo,FW,Switzerland,25-307,1997,4,323,81,89.7,3.6,4,81,0,0,,0,1.50,5,7,-2,-0.56,+4.31,5.4,4.8,+0.6,+0.16,+0.79
Brenden Aaronson,MF,United States,22-057,2000,4,108,27,30.0,1.2,0,,0,4,27,0,1.25,1,2,-1,-0.83,-0.83,0.9,2.7,-1.8,-1.51,-2.05
Brennan Johnson,FW,Wales,21-209,2001,3,91,30,33.7,1.0,0,,0,3,30,0,0.33,1,5,-4,-3.96,-3.45,1.4,2.3,-0.9,-0.89,-0.40
Bruno Fernandes,FW,Portugal,28-101,1994,4,356,89,79.1,4.0,4,89,3,0,,1,2.25,10,4,+6,+1.52,+1.52,6.5,4.8,+1.6,+0.41,+0.76
Bruno Guimarães,MF,Brazil,25-032,1997,2,69,35,14.4,0.8,0,,0,2,35,3,1.50,1,1,0,0.00,-1.09,1.8,0.3,+1.5,+1.92,+0.07
Bruno Petković,FW,Croatia,28-093,1994,6,234,39,33.9,2.6,1,61,0,5,35,1,1.50,4,3,+1,+0.38,+0.38,3.2,4.9,-1.7,-0.76,-0.33
Bryan Mbeumo,FW,Cameroon,23-133,1999,3,233,78,86.3,2.6,3,78,1,0,,0,1.33,3,4,-1,-0.39,-2.82,3.1,4.2,-1.0,-0.42,+2.07
Bryan Oviedo,DF,Costa Rica,32-303,1990,3,260,87,96.3,2.9,3,87,1,0,,0,1.00,3,9,-6,-2.08,+15.92,1.4,9.0,-7.5,-2.61,+7.77
Bryan Ruiz,MF,Costa Rica,37-122,1985,1,30,30,11.1,0.3,0,,0,1,30,2,0.00,0,3,-3,-9.00,-7.13,0.0,0.9,-0.9,-2.57,+0.37
Bukayo Saka,FW,England,21-104,2001,4,288,72,64.0,3.2,4,72,0,0,,1,1.75,8,3,+5,+1.56,-0.66,3.9,2.4,+1.5,+0.46,-1.31
Callum Wilson,FW,England,30-294,1992,2,48,24,10.7,0.5,0,,0,2,24,3,3.00,2,1,+1,+1.87,+0.08,1.9,1.2,+0.7,+1.28,+0.40
Cameron Carter-Vickers,DF,United States,24-352,1997,1,90,90,25.0,1.0,1,90,1,0,,3,3.00,1,0,+1,+1.00,+1.67,1.2,0.4,+0.7,+0.75,+1.10
Cameron Devlin,MF,Australia,24-194,1998,0,,,,,0,,0,0,,4,,,,,,,,,,,
Carlos Gruezo,MF,Ecuador,27-243,1995,1,45,45,16.7,0.5,1,45,0,0,,2,0.00,0,1,-1,-2.00,-2.80,0.1,1.6,-1.5,-2.97,-4.03
Carlos Martínez,DF,Costa Rica,23-263,1999,1,45,45,16.7,0.5,1,45,0,0,,2,0.00,0,3,-3,-6.00,-4.00,0.0,2.5,-2.5,-4.95,-2.46
Carlos Soler,MF,Spain,25-350,1997,2,92,46,23.6,1.0,0,,0,2,46,2,2.00,3,0,+3,+2.93,+2.03,1.6,0.5,+1.1,+1.61,+1.16
Casemiro,MF,Brazil,30-298,1992,4,390,98,81.3,4.3,4,98,4,0,,1,2.50,8,2,+6,+1.38,+2.38,9.5,1.6,+7.9,+1.98,+0.49
Celso Borges,MF,Costa Rica,34-205,1988,3,249,83,92.2,2.8,3,83,1,0,,0,1.00,3,8,-5,-1.81,+11.05,1.4,9.4,-7.9,-2.86,+0.44
Charles De Ketelaere,FW,Belgium,21-283,2001,1,16,16,5.9,0.2,0,,0,1,16,2,0.00,0,1,-1,-5.63,-5.63,0.0,0.4,-0.4,-2.40,-2.60
Charly Rodríguez,MF,Mexico,25-349,1997,2,34,17,12.6,0.4,0,,0,2,17,1,2.00,0,1,-1,-2.65,-2.65,0.5,0.8,-0.3,-0.79,-1.25
Cheikhou Kouyaté,MF,Senegal,32-362,1989,1,72,72,20.0,0.8,1,72,0,0,,0,0.00,0,0,0,0.00,+0.62,0.5,0.3,+0.2,+0.19,-0.08
Cho Guesung,FW,Korea Republic,24-327,1998,4,275,69,76.4,3.1,3,86,1,1,17,0,1.00,5,8,-3,-0.98,-0.98,4.0,6.4,-2.4,-0.79,-0.70
Cho Hyun-woo,GK,Korea Republic,31-084,1991,0,,,,,0,,0,0,,4,,,,,,,,,,,
Cho Yumin,FW,Korea Republic,26-031,1996,1,1,1,0.3,0.0,0,,0,1,1,3,3.00,0,0,0,0.00,+0.75,0.0,0.0,0.0,0.00,+0.63
Chris Gunter,DF,Wales,33-150,1989,0,,,,,0,,0,0,,3,,,,,,,,,,,
Chris Mepham,DF,Wales,25-043,1997,3,270,90,100.0,3.0,3,90,3,0,,0,0.33,1,6,-5,-1.67,,2.7,4.6,-1.9,-0.63,
Christian Bassogog,MF,Cameroon,27-061,1995,1,24,24,8.9,0.3,0,,0,1,24,2,1.00,0,0,0,0.00,0.00,0.1,0.4,-0.3,-1.27,-0.54
Christian Eriksen,MF,Denmark,30-307,1992,3,270,90,100.0,3.0,3,90,3,0,,0,0.33,1,3,-2,-0.67,,2.7,3.9,-1.2,-0.39,
Christian Fassnacht,FW,Switzerland,29-037,1993,1,8,8,2.2,0.1,0,,0,1,8,3,3.00,0,0,0,0.00,+1.02,0.2,0.1,+0.1,+1.33,+1.28
Christian Günter,DF,Germany,29-293,1993,0,,,,,0,,0,0,,3,,,,,,,,,,,
Christian Nørgaard,MF,Denmark,28-283,1994,1,6,6,2.2,0.1,0,,0,1,6,2,0.00,0,1,-1,-15.00,-14.66,0.0,0.7,-0.7,-10.09,-9.91
Christian Pulisic,FW,United States,24-091,1998,4,315,79,87.5,3.5,4,79,3,0,,0,1.25,3,4,-1,-0.29,-0.29,3.7,3.9,-0.2,-0.05,+0.15
Christopher Wooh,DF,Cameroon,21-091,2001,1,90,90,33.3,1.0,1,90,1,0,,2,3.00,1,0,+1,+1.00,+1.50,0.5,2.5,-2.0,-1.99,-1.80
Cody Gakpo,FW,Netherlands,23-225,1999,5,450,90,93.8,5.0,5,90,0,0,,0,2.20,9,4,+5,+1.00,-2.00,4.4,5.5,-1.1,-0.22,+0.94
Collins Fai,DF,Cameroon,30-127,1992,3,270,90,100.0,3.0,3,90,3,0,,0,1.33,4,4,0,0.00,,3.4,5.8,-2.3,-0.78,
Connor Roberts,DF,Wales,27-086,1995,3,200,67,74.1,2.2,2,73,1,1,54,0,0.33,1,4,-3,-1.35,+1.22,2.5,3.4,-0.9,-0.41,+0.86
Conor Coady,DF,England,29-296,1993,0,,,,,0,,0,0,,5,,,,,,,,,,,
Conor Gallagher,MF,England,22-315,2000,0,,,,,0,,0,0,,5,,,,,,,,,,,
Craig Goodwin,MF,Australia,31-002,1991,4,234,59,65.0,2.6,3,67,0,1,33,0,1.50,3,4,-1,-0.38,+0.33,1.8,5.6,-3.8,-1.46,-0.65
